2026-01-26 00:28:42,151 - Experiment Config: {'model': 'sam_dinov2_vitb', 'data_path': '/mnt/nvme1n1/lululemon/xjj/datasets/resized/gazefollow_extended', 'ckpt_save_dir': './experiments', 'wandb_project': 'sam_dinov2_vitb_lora_multi_input', 'exp_name': 'train_sam_dinov2_lora_prompt_gazefollow_multi_input', 'log_iter': 10, 'max_epochs': 15, 'batch_size': 60, 'lr': 0.001, 'n_workers': 8}
2026-01-26 00:30:55,486 - Learnable parameters: 5699552
2026-01-26 00:31:01,544 - 
[Epoch 0 Training]
2026-01-26 00:31:04,486 - Iter 0/1891, Loss=0.8784, Loss=0.8784
2026-01-26 00:31:08,842 - Iter 10/1891, Loss=0.0734, Loss=0.0734
2026-01-26 00:31:13,279 - Iter 20/1891, Loss=0.0722, Loss=0.0722
2026-01-26 00:31:17,755 - Iter 30/1891, Loss=0.0711, Loss=0.0711
2026-01-26 00:31:22,146 - Iter 40/1891, Loss=0.0693, Loss=0.0693
2026-01-26 00:31:26,390 - Iter 50/1891, Loss=0.0692, Loss=0.0692
2026-01-26 00:31:30,564 - Iter 60/1891, Loss=0.0689, Loss=0.0689
2026-01-26 00:31:34,980 - Iter 70/1891, Loss=0.0700, Loss=0.0700
2026-01-26 00:31:39,459 - Iter 80/1891, Loss=0.0682, Loss=0.0682
2026-01-26 00:31:43,837 - Iter 90/1891, Loss=0.0706, Loss=0.0706
2026-01-26 00:31:48,496 - Iter 100/1891, Loss=0.0698, Loss=0.0698
2026-01-26 00:31:52,966 - Iter 110/1891, Loss=0.0685, Loss=0.0685
2026-01-26 00:31:57,301 - Iter 120/1891, Loss=0.0699, Loss=0.0699
2026-01-26 00:32:01,704 - Iter 130/1891, Loss=0.0697, Loss=0.0697
2026-01-26 00:32:06,089 - Iter 140/1891, Loss=0.0703, Loss=0.0703
2026-01-26 00:32:10,361 - Iter 150/1891, Loss=0.0693, Loss=0.0693
2026-01-26 00:32:14,752 - Iter 160/1891, Loss=0.0696, Loss=0.0696
2026-01-26 00:32:19,252 - Iter 170/1891, Loss=0.0695, Loss=0.0695
2026-01-26 00:32:23,527 - Iter 180/1891, Loss=0.0695, Loss=0.0695
2026-01-26 00:32:27,880 - Iter 190/1891, Loss=0.0694, Loss=0.0694
2026-01-26 00:32:32,367 - Iter 200/1891, Loss=0.0684, Loss=0.0684
2026-01-26 00:32:36,646 - Iter 210/1891, Loss=0.0685, Loss=0.0685
2026-01-26 00:32:40,981 - Iter 220/1891, Loss=0.0687, Loss=0.0687
2026-01-26 00:32:45,503 - Iter 230/1891, Loss=0.0707, Loss=0.0707
2026-01-26 00:32:49,876 - Iter 240/1891, Loss=0.0706, Loss=0.0706
2026-01-26 00:32:54,209 - Iter 250/1891, Loss=0.0693, Loss=0.0693
2026-01-26 00:32:58,552 - Iter 260/1891, Loss=0.0691, Loss=0.0691
2026-01-26 00:33:02,726 - Iter 270/1891, Loss=0.0687, Loss=0.0687
2026-01-26 00:33:07,130 - Iter 280/1891, Loss=0.0693, Loss=0.0693
2026-01-26 00:33:11,570 - Iter 290/1891, Loss=0.0692, Loss=0.0692
2026-01-26 00:33:16,020 - Iter 300/1891, Loss=0.0688, Loss=0.0688
2026-01-26 00:33:20,426 - Iter 310/1891, Loss=0.0686, Loss=0.0686
2026-01-26 00:33:24,696 - Iter 320/1891, Loss=0.0684, Loss=0.0684
2026-01-26 00:33:28,975 - Iter 330/1891, Loss=0.0688, Loss=0.0688
2026-01-26 00:33:33,331 - Iter 340/1891, Loss=0.0697, Loss=0.0697
2026-01-26 00:33:37,579 - Iter 350/1891, Loss=0.0690, Loss=0.0690
2026-01-26 00:33:41,861 - Iter 360/1891, Loss=0.0695, Loss=0.0695
2026-01-26 00:33:46,170 - Iter 370/1891, Loss=0.0701, Loss=0.0701
2026-01-26 00:33:50,438 - Iter 380/1891, Loss=0.0675, Loss=0.0675
2026-01-26 00:33:54,842 - Iter 390/1891, Loss=0.0706, Loss=0.0706
2026-01-26 00:33:59,053 - Iter 400/1891, Loss=0.0685, Loss=0.0685
2026-01-26 00:34:03,290 - Iter 410/1891, Loss=0.0685, Loss=0.0685
2026-01-26 00:34:07,472 - Iter 420/1891, Loss=0.0687, Loss=0.0687
2026-01-26 00:34:11,704 - Iter 430/1891, Loss=0.0684, Loss=0.0684
2026-01-26 00:34:15,976 - Iter 440/1891, Loss=0.0681, Loss=0.0681
2026-01-26 00:34:20,275 - Iter 450/1891, Loss=0.0691, Loss=0.0691
2026-01-26 00:34:24,638 - Iter 460/1891, Loss=0.0696, Loss=0.0696
2026-01-26 00:34:28,899 - Iter 470/1891, Loss=0.0685, Loss=0.0685
2026-01-26 00:34:33,112 - Iter 480/1891, Loss=0.0684, Loss=0.0684
2026-01-26 00:34:37,607 - Iter 490/1891, Loss=0.0698, Loss=0.0698
2026-01-26 00:34:41,943 - Iter 500/1891, Loss=0.0695, Loss=0.0695
2026-01-26 00:34:46,391 - Iter 510/1891, Loss=0.0684, Loss=0.0684
2026-01-26 00:34:50,692 - Iter 520/1891, Loss=0.0692, Loss=0.0692
2026-01-26 00:34:54,942 - Iter 530/1891, Loss=0.0676, Loss=0.0676
2026-01-26 00:34:59,255 - Iter 540/1891, Loss=0.0689, Loss=0.0689
2026-01-26 00:35:03,590 - Iter 550/1891, Loss=0.0684, Loss=0.0684
2026-01-26 00:35:08,037 - Iter 560/1891, Loss=0.0686, Loss=0.0686
2026-01-26 00:35:12,499 - Iter 570/1891, Loss=0.0685, Loss=0.0685
2026-01-26 00:35:16,922 - Iter 580/1891, Loss=0.0691, Loss=0.0691
2026-01-26 00:35:21,225 - Iter 590/1891, Loss=0.0698, Loss=0.0698
2026-01-26 00:35:25,751 - Iter 600/1891, Loss=0.0704, Loss=0.0704
2026-01-26 00:35:30,140 - Iter 610/1891, Loss=0.0685, Loss=0.0685
2026-01-26 00:35:34,360 - Iter 620/1891, Loss=0.0682, Loss=0.0682
2026-01-26 00:35:38,884 - Iter 630/1891, Loss=0.0696, Loss=0.0696
2026-01-26 00:35:43,232 - Iter 640/1891, Loss=0.0691, Loss=0.0691
2026-01-26 00:35:47,732 - Iter 650/1891, Loss=0.0695, Loss=0.0695
2026-01-26 00:35:51,988 - Iter 660/1891, Loss=0.0680, Loss=0.0680
2026-01-26 00:35:56,350 - Iter 670/1891, Loss=0.0685, Loss=0.0685
2026-01-26 00:36:00,679 - Iter 680/1891, Loss=0.0676, Loss=0.0676
2026-01-26 00:36:04,966 - Iter 690/1891, Loss=0.0677, Loss=0.0677
2026-01-26 00:36:09,407 - Iter 700/1891, Loss=0.0679, Loss=0.0679
2026-01-26 00:36:13,778 - Iter 710/1891, Loss=0.0692, Loss=0.0692
2026-01-26 00:36:18,130 - Iter 720/1891, Loss=0.0684, Loss=0.0684
2026-01-26 00:36:22,351 - Iter 730/1891, Loss=0.0689, Loss=0.0689
2026-01-26 00:36:26,624 - Iter 740/1891, Loss=0.0685, Loss=0.0685
2026-01-26 00:36:31,054 - Iter 750/1891, Loss=0.0693, Loss=0.0693
2026-01-26 00:36:35,379 - Iter 760/1891, Loss=0.0665, Loss=0.0665
2026-01-26 00:36:39,618 - Iter 770/1891, Loss=0.0685, Loss=0.0685
2026-01-26 00:36:44,074 - Iter 780/1891, Loss=0.0692, Loss=0.0692
2026-01-26 00:36:48,311 - Iter 790/1891, Loss=0.0687, Loss=0.0687
2026-01-26 00:36:52,590 - Iter 800/1891, Loss=0.0681, Loss=0.0681
2026-01-26 00:36:56,893 - Iter 810/1891, Loss=0.0673, Loss=0.0673
